Symbol;Date; Open ; High ; Low ;Close 
MSFT;2019-02-28;868.21;890.27;849.97;908.51
GOOG;2019-02-28;318.61;355.5;307.61;366.5
ROG;2019-02-28;691.68;722.4;650.55;763.53
ROG;2019-03-03;753.58;768.52;725.41;796.69
MSFT;2019-03-03;772.06;799.84;758.48;813.43
BELL;2019-03-03;957.94;962.26;909.31;1010.89
MSFT;2019-02-28;596.62;642.3;595.81;643.11
LYD;2019-03-04;911.76;915.42;862.82;964.36
DC.WT;2019-03-03;406.06;453.57;373.04;486.6
MSFT;2019-03-03;415.5;438.97;385.38;469.09
ROG;2019-03-03;750.85;796.97;740.8;807.03
TSLA;2019-03-02;934.21;977.17;885.2;1026.18
DC.WT;2019-03-01;272.89;306.11;245.67;333.33
GOOG;2019-03-04;533.46;573.53;513.35;593.63
TSLA;2019-03-01;585.32;621.75;549.86;657.2
DC.WT;2019-03-03;272.28;273.74;254;292.01
RBC;2019-03-04;439.03;452.26;433.26;458.02
RBC;2019-03-02;92.03;139.86;60.83;171.05
MSFT;2019-02-28;443.11;449.71;398.16;494.65
ARG;2019-02-28;176.72;189.15;128.35;237.52
L.PR.B;2019-03-01;288.1;292.75;241.72;339.12
LYD;2019-03-04;298.69;344.24;286.11;356.83
RBC;2019-03-04;886.52;897.52;870.36;913.68
L.PR.B;2019-03-03;261.21;291.51;217.54;335.18
LYD;2019-03-02;758.74;795.66;719.05;835.35
LYD;2019-03-01;868.48;884.69;856.18;896.99
L.PR.B;2019-03-03;909.84;938.83;874.19;974.48
DC.WT;2019-03-02;192.47;199.21;175.35;216.34
L.PR.B;2019-03-03;574.82;576.65;565.34;586.13
BELL;2019-03-01;150;190.39;115.81;224.58
LYD;2019-03-04;260.05;291.63;256.9;294.78
RBC;2019-02-28;894.16;932.97;886.38;940.75
LYD;2019-03-03;216.94;243.73;194.97;265.7
DC.WT;2019-03-02;585.41;588.17;536.31;637.27
TSLA;2019-03-03;712.72;759.02;711.97;759.77
ARG;2019-02-28;979.41;1008.19;939;1048.59
RBC;2019-03-02;477.13;510.2;444.01;543.32
BELL;2019-03-04;26.34;52.62;-7.43;86.39
DC.WT;2019-03-04;766.54;775.55;739.56;802.53
ROG;2019-03-03;508.55;553.02;488.04;573.52
TSLA;2019-02-28;859.41;885.14;848.56;895.99
BELL;2019-03-01;385.77;420.63;361.13;445.27
ARG;2019-03-03;73.51;112.07;50.89;134.68
MSFT;2019-02-28;399.44;424.91;363.56;460.79
L.PR.B;2019-03-03;563.45;583.93;551.39;596
ROG;2019-03-04;177.54;182.32;127.61;232.25
RBC;2019-03-02;555.71;566.27;535.66;586.32
GOOG;2019-03-04;405.78;416.76;357.77;464.78
L.PR.B;2019-02-28;368.39;413.51;354.2;427.71
ROG;2019-03-03;901.44;911.47;863.92;949
RBC;2019-03-04;441.58;461.17;415.36;487.39
TSLA;2019-03-02;441.29;486.76;401.16;526.89
ARG;2019-03-03;133.8;182.5;96;220.31
RBC;2019-03-03;658.8;696.76;657.66;697.9
MSFT;2019-03-01;227.71;244.66;225.58;246.78
L.PR.B;2019-03-02;853.89;872.37;843.9;882.36
TSLA;2019-03-03;489.31;511.61;460.47;540.45
L.PR.B;2019-03-04;96.7;109.16;60;145.85
ARG;2019-03-04;897.15;901.17;893.66;904.66
ARG;2019-03-01;574.88;612.17;560.63;626.42
LYD;2019-03-01;576.68;604.3;552.03;628.94
DC.WT;2019-03-04;643.64;679.68;627.26;696.07
L.PR.B;2019-03-04;51.16;85.52;9.28;127.4
DC.WT;2019-03-02;244.24;248.6;198.66;294.18
LYD;2019-03-02;363.36;383.88;348.61;398.63
MSFT;2019-03-04;840.58;844.46;798.24;886.8
BELL;2019-02-28;151.22;152.71;142.71;161.23
TSLA;2019-03-04;827.14;874.98;815.97;886.15
RBC;2019-03-02;368.26;397.38;355.76;409.87
L.PR.B;2019-03-01;571.74;621.63;546.16;647.21
BELL;2019-03-01;601.34;629.23;567.1;663.48
ARG;2019-03-04;441.96;449.79;438.31;453.44
TSLA;2019-03-01;73.03;89.75;57.68;105.1
ARG;2019-03-01;818.07;829.51;771.27;876.31
ARG;2019-03-04;423.57;459.08;376.05;506.6
MSFT;2019-03-01;714.11;728.92;664.32;778.71
BELL;2019-03-03;987.01;1026.62;956.11;1057.51
LYD;2019-03-03;307.15;320.44;292.28;335.3
ARG;2019-03-03;84.76;95.93;82.17;98.52
L.PR.B;2019-03-01;240.99;264.42;192.49;312.92
ROG;2019-03-04;215.07;225.16;174.63;265.6
RBC;2019-03-03;178.26;181.62;140.01;219.87
BELL;2019-03-03;186.28;202.59;149.03;239.85
LYD;2019-03-01;304.11;346.15;260.76;389.49
ARG;2019-03-04;100.32;130.5;66.34;164.48
MSFT;2019-03-01;283.84;303.34;264.5;322.68
DC.WT;2019-03-04;334.17;371.99;307.72;398.44
DC.WT;2019-03-01;174.35;181.24;143.95;211.64
DC.WT;2019-03-01;198.36;220.99;163.42;255.93
ROG;2019-03-02;19.53;26.77;-0.77;47.08
GOOG;2019-02-28;232.92;246.3;216.62;262.61
ARG;2019-03-01;893.61;896.03;864.99;924.65
LYD;2019-03-04;257.98;307.46;252.46;312.98
